Applicant Details,SCORING,
Link to application bundle,ALL SCORED,ONLY PASS
application_549_bundle.zip,71,85
application_552_bundle.zip,69,0
application_558_bundle (1).zip,65,78
application_564_bundle.zip,73,0
application_577_bundle.zip,35,0
application_602_bundle.zip,56,87
application_604_bundle.zip,49,0
application_605_bundle.zip,62,91
application_277_bundle.zip,48,0
application_281_bundle.zip,74,0
application_451_bundle.zip,94,0
application_492_bundle.zip,64,80
application_547_bundle.zip,69,0
application_624_bundle.zip,43,0
application_173_bundle.zip,41,0
application_291_bundle.zip,63,60
application_294_bundle.zip,85,73
application_298_bundle.zip,49,70
application_319_bundle.zip,71,60
application_326_bundle.zip,71,68
application_343_bundle.zip,63,0
application_357_bundle.zip,61,0
application_359_bundle.zip,73,68
application_360_bundle.zip,52,67
application_361_bundle.zip,54,0
application_376_bundle.zip,48,77
application_393_bundle.zip,80,71
application_400_bundle.zip,52,0
application_412_bundle.zip,54,46
application_414_bundle.zip,56,0
application_417_bundle.zip,79,0
application_440_bundle.zip,67,0
application_592_bundle.zip,96,0
application_597_bundle (1).zip,52,82
application_702_bundle.zip,67,0
application_159_bundle.zip,52,0
application_167_bundle.zip,62,0
application_181_bundle.zip,23,0
application_450_bundle.zip,84,91
application_486_bundle.zip,66,74
application_494_bundle.zip,58,0
application_511_bundle.zip,47,0
application_525_bundle.zip,46,0
application_568_bundle.zip,47,0
application_572_bundle.zip,69,0
application_586_bundle.zip,61,79
application_714_bundle.zip,71,0
application_487_bundle.zip,50,0
application_201_bundle.zip,71,0
application_225_bundle.zip,88,0
application_242_bundle.zip,62,89
application_300_bundle.zip,53,74
application_368_bundle.zip,29,83
application_403_bundle (1).zip,11,0
application_441_bundle.zip,62,0
application_591_bundle.zip,52,0
application_593_bundle.zip,65,0
application_595_bundle.zip,25,0
application_629_bundle.zip,59,86
application_636_bundle.zip,0,0
application_296_bundle.zip,46,51
application_303_bundle.zip,28,0
application_443_bundle.zip,65,77
application_559_bundle.zip,30,75
application_603_bundle.zip,84,88
application_607_bundle.zip,61,100
application_611_bundle.zip,40,0
application_614_bundle.zip,93,0
application_627_bundle.zip,62,82
application_640_bundle.zip,53,98
application_642_bundle.zip,56,67
application_647_bundle.zip,63,62
application_651_bundle.zip,42,85
application_670_bundle.zip,43,0
application_689_bundle.zip,61,0
application_711_bundle.zip,49,0
application_208_bundle.zip,62,0
application_222_bundle.zip,65,82
application_241_bundle.zip,52,86
application_246_bundle.zip,62,86
application_251_bundle.zip,72,84
application_253_bundle.zip,58,94
application_260_bundle.zip,48,81
application_271_bundle.zip,69,64
application_282_bundle.zip,71,66
application_283_bundle.zip,86,0
application_331_bundle.zip,87,0
application_495_bundle.zip,77,0
application_502_bundle.zip,64,69
application_553_bundle (1).zip,59,0
application_634_bundle.zip,86,0
application_205_bundle.zip,67,0
application_367_bundle (1).zip,44,0
application_475_bundle.zip,73,76
application_673_bundle.zip,56,0
application_250_bundle.zip,41,59
application_259_bundle.zip,76,59
application_266_bundle.zip,70,0
application_275_bundle.zip,80,0
application_304_bundle.zip,70,0
application_436_bundle.zip,65,0
application_498_bundle.zip,58,93
application_663_bundle (1).zip,51,63
application_672_bundle.zip,38,0
application_164_bundle.zip,43,94
application_204_bundle.zip,27,0
application_290_bundle.zip,52,0
application_317_bundle.zip,61,43
application_329_bundle.zip,53,0
application_365_bundle.zip,56,84
application_406_bundle.zip,38,0
application_407_bundle.zip,44,0
application_418_bundle (1).zip,55,0
application_420_bundle (1).zip,67,0
application_425_bundle.zip,61,55
application_458_bundle.zip,69,0
application_490_bundle.zip,56,0
application_505_bundle.zip,64,0
application_526_bundle.zip,63,0
application_531_bundle.zip,58,58
application_539_bundle.zip,68,0
